profil,vitesse_ms,angle_deg,CL,CD,pression_PSI
NACA-0012,11.2,2,0.046868517,-0.0033185769,
NACA-0012,11.2,2.5,0.051310304,-0.0033185769,
NACA-0012,11.2,3,0.055752092,-0.0033185769,
NACA-0012,11.2,3.5,0.060193879,-0.0033185769,
NACA-0012,11.2,4,0.064635667,-0.0033185769,
NACA-0012,11.2,4.5,0.069077454,-0.0033185769,
NACA-0012,11.2,5,0.073519242,-0.0033185769,
NACA-0012,11.2,5.5,0.07796103,-0.0033185769,
NACA-0012,11.2,6,0.082402817,-0.0033185769,
NACA-0012,11.2,6.5,0.086844605,-0.0033185769,
NACA-0012,11.2,7,0.091286392,-0.0033185769,
NACA-0012,11.2,7.5,0.09572818,-0.0033185769,
NACA-0012,11.2,8,0.093494522,-0.0048342731,
NACA-0012,11.2,8.5,0.091260865,-0.0063499693,
NACA-0012,11.2,9,0.089027207,-0.0078656654,
NACA-0012,11.2,9.5,0.08679355,-0.0093813616,
NACA-0012,11.2,10,0.084559892,-0.010897058,
NACA-0012,11.2,10.5,0.082326235,-0.012412754,
NACA-0012,11.2,11,0.080092577,-0.01392845,
NACA-0012,11.2,11.5,0.077858919,-0.015444146,
NACA-0012,11.2,12,0.078497107,-0.015635603,
NACA-0012,11.2,12.5,0.079135295,-0.015827059,
NACA-0012,11.2,13,0.079135295,-0.016337609,
NACA-0012,11.2,13.5,0.079135295,-0.01684816,
NACA-0012,12,-20,,,-0.010328513
NACA-0012,12,-19.5,,,-0.010336824
NACA-0012,12,-19,,,-0.010345136
NACA-0012,12,-18.5,,,-0.010353448
NACA-0012,12,-18,,,-0.01036176
NACA-0012,12,-17.5,,,-0.010370072
NACA-0012,12,-17,,,-0.010378384
NACA-0012,12,-16.5,,,-0.010386696
NACA-0012,12,-16,,,-0.010395008
NACA-0012,12,-15.5,,,-0.010403319
NACA-0012,12,-15,,,-0.010411631
NACA-0012,12,-14.5,,,-0.010419943
NACA-0012,12,-14,,,-0.010428255
NACA-0012,12,-13.5,,,-0.010436567
NACA-0012,12,-13,,,-0.010444879
NACA-0012,12,-12.5,,,-0.010453191
NACA-0012,12,-12,,,-0.010461503
NACA-0012,12,-11.5,,,-0.010469814
NACA-0012,12,-11,,,-0.010478126
NACA-0012,12,-10.5,,,-0.010486438
NACA-0012,12,-10,,,-0.01049475
NACA-0012,12,-9.5,,,-0.010506726
NACA-0012,12,-9,,,-0.010518703
NACA-0012,12,-8.5,,,-0.010530679
NACA-0012,12,-8,,,-0.010542655
NACA-0012,12,-7.5,,,-0.010554631
NACA-0012,12,-7,,,-0.010566608
NACA-0012,12,-6.5,,,-0.010578584
NACA-0012,12,-6,,,-0.01059056
NACA-0012,12,-5.5,,,-0.010602536
NACA-0012,12,-5,,,-0.010614513
NACA-0012,12,-4.5,,,-0.010855869
NACA-0012,12,-4,,,-0.011097225
NACA-0012,12,-3.5,,,-0.011338581
NACA-0012,12,-3,,,-0.011579937
NACA-0012,12,-2.5,,,-0.011821293
NACA-0012,12,-2,,,-0.012062649
NACA-0012,12,-1.5,,,-0.012304005
NACA-0012,12,-1,,,-0.012545361
NACA-0012,12,-0.5,,,-0.012786717
NACA-0012,12,0,0.03724748,-0.0021681369,-0.013028073
NACA-0012,12,0.5,0.040749855,-0.0021959335,-0.013415328
NACA-0012,12,1,0.04425223,-0.0022237302,-0.013802583
NACA-0012,12,1.5,0.047754605,-0.0022515268,-0.014189839
NACA-0012,12,2,0.05125698,-0.0022793234,-0.014577094
NACA-0012,12,2.5,0.054759355,-0.00230712,-0.014964349
NACA-0012,12,3,0.05826173,-0.0023349167,-0.015351604
NACA-0012,12,3.5,0.061764105,-0.0023627133,-0.015738859
NACA-0012,12,4,0.06526648,-0.0023905099,-0.016126115
NACA-0012,12,4.5,0.068768855,-0.0024183065,-0.01651337
NACA-0012,12,5,0.07227123,-0.0024461032,-0.016900625
NACA-0012,12,5.5,0.073105129,-0.0036191208,-0.017346851
NACA-0012,12,6,0.073939028,-0.0047921385,-0.017793077
NACA-0012,12,6.5,0.074772927,-0.0059651562,-0.018239303
NACA-0012,12,7,0.075606825,-0.0071381738,-0.018685529
NACA-0012,12,7.5,0.076440724,-0.0083111915,-0.019131755
NACA-0012,12,8,0.077274623,-0.0094842091,-0.019577981
NACA-0012,12,8.5,0.078108522,-0.010657227,-0.020024207
NACA-0012,12,9,0.078942421,-0.011830244,-0.020470433
NACA-0012,12,9.5,0.079776319,-0.013003262,-0.020916659
NACA-0012,12,10,0.080610218,-0.01417628,-0.021362885
NACA-0012,12,10.5,,,-0.019306449
NACA-0012,12,11,,,-0.017250013
NACA-0012,12,11.5,,,
NACA-0012,12,12,,,
NACA-0012,12,12.5,,,
NACA-0012,12,13,,,
NACA-0012,12,13.5,,,
NACA-0012,12,14,,,
NACA-0012,12,14.5,,,
NACA-0012,12,15,0.077274623,-0.019513232,
NACA-0012,12,15.5,,,
NACA-0012,12,16,,,
NACA-0012,12,16.5,,,
NACA-0012,12,17,,,
NACA-0012,12,17.5,,,
NACA-0012,12,18,,,
NACA-0012,12,18.5,,,
NACA-0012,12,19,,,
NACA-0012,12,19.5,,,
NACA-0012,12,20,,,-0.018445975
NACA-0012,14.2,-5,-0.024614986,-0.0031761272,
NACA-0012,14.2,-4.5,-0.020136646,-0.0031729511,
NACA-0012,14.2,-4,-0.015658307,-0.0031697749,
NACA-0012,14.2,-3.5,-0.011179968,-0.0031665988,
NACA-0012,14.2,-3,-0.0067016284,-0.0031634227,
NACA-0012,14.2,-2.5,-0.002223289,-0.0031602465,
NACA-0012,14.2,-2,0.0022550503,-0.0031570704,
NACA-0012,14.2,-1.5,0.0067333896,-0.0031538943,
NACA-0012,14.2,-1,0.011211729,-0.0031507182,
NACA-0012,14.2,-0.5,0.015690068,-0.003147542,
NACA-0012,14.2,0,0.020168408,-0.0031443659,
NACA-0012,14.2,0.5,0.024646747,-0.0031411898,
